id,title,creator,source_url,license,license_url,attribution_required,modified,final_file,final_sha256,reviewed
goal-horn,Goal Horn,PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/goal-horn.mp3,6ea1774f9b541e3a0b431b69ee165a345d22eb2470cd89e789e2213b3b85cd78,2026-09-03
goal-burst,Goal Burst,PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/goal-burst.mp3,a2b78a2206a46a452c82b60327b343bdf939103ebcd30d4ca8f25ca804c033de,2026-09-03
final-buzzer,Final Buzzer,PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/final-buzzer.mp3,b7cfc932be56368aa48c2f607432ea197f2918b198f733077eeca0c68cbfe782,2026-09-03
whistle,Whistle,PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/whistle.mp3,f52cf03f4b64babf9c2625a7ff466c2dd5c97593c2d07302fe7d99e65d545d90,2026-09-03
big-cheer,Big Cheer,starlite,https://commons.wikimedia.org/wiki/File:Clapping_hurray.ogg,Public domain (PD-author),https://commons.wikimedia.org/wiki/File:Clapping_hurray.ogg,no,yes,public/audio/big-cheer.mp3,df2f9babae99b8cd295b08bf9317e9409c8774ee1c36c8559f48d8666d77e340,2026-09-03
applause,Applause,Amada44,https://commons.wikimedia.org/wiki/File:Sound_Effects_-_Applause_after_a_concert.ogg,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/applause.mp3,60d120c776d62643d2fa4b867e010a3df48368919bb78eb20d5569938d98cfaa,2026-09-03
crowd-rise,Crowd Rise,PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/crowd-rise.mp3,00e56a0ef46a2b075519d663e73de44eab07efa1e09625f22ca437d374ebc1dc,2026-09-03
aw-so-close,"Aw, So Close",PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/aw-so-close.mp3,5c1a10be58eabc081d20c7ebd15bd2aa3a7890fec6b05c044906c064b2c330d3,2026-09-03
warriors-win,Warriors Win,PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/warriors-win.mp3,40cdbf85767245c15472cc97cddd0c1592ae29aa0774f56b2b8e277e464c553d,2026-09-03
hype-hit,Hype Hit,PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/hype-hit.mp3,4237e22293f41614ed4b92f447f546a64cddf78d080493597ec363b1aef23561,2026-09-03
drum-charge,Drum Charge,PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/drum-charge.mp3,fa1cf255520651550eb226afa7cf14ae68df6b34d89e8be605240505c02341ad,2026-09-03
coin-chime,Coin Chime,PA Helper project,https://github.com/spencerxsmith/waunakee-pa-helper/blob/main/work/generate_original_sounds.py,CC0 1.0,https://creativecommons.org/publicdomain/zero/1.0/,no,yes,public/audio/coin-chime.mp3,ad8841fb7d57d802da979005d2bd3a735f85ed9aa37ff2219c21fe3b9ae4156a,2026-09-03
